,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23
BM_h0_1,0.000804554138741591,0.000447784238238045,0.00558482611476783,2.16898879317555e-17,0.00300899586393067,0.000655455337944968,0.771125708395654,2.78855905674362e-17,0.00152398247572332,0.0015682966955354,0.0512960416388948,0.00112301868638611,0.00661168633753724,0.0324855502964783,0.000404215961613633,0.00042601031420384,0.0613889695259635,0.000663793388680629,0.000851065310835903,0.00065140235231101,0.00698272138973448,0.0470745474305251,0.00532137410630005
BM_h0_2,0.000247875859605414,0.000426503700909288,0.00285079560812243,2.05977768413033e-17,0.00262571469005714,0.000518966687897435,0.791995251016484,2.64815186414619e-17,0.0160515791752448,0.00138299461374056,0.0539212209618637,0.000743659831861346,0.00429402953768083,0.0235124497183711,0.000300751725133256,0.000218029235643127,0.0639217982643228,0.00167334334300451,0.000389691650003127,0.000834553245312565,0.00558512153623695,0.0223538404083449,0.00615182919016102
BM_h0_3,0.00241700709991096,0.000656844260176327,0.00262605871926519,2.11384649529836e-17,0.00363563577681226,0.000557883049219892,0.744145512493874,2.71766539669387e-17,3.54292787160558e-17,0.00106252917227377,0.0788168022570201,0.00136715320498878,0.000584126252908447,0.0179791283859198,0.000442928435151398,0.000510626101556527,0.0557167691802377,0.00147214325948311,0.00089477332415739,0.000740427320410431,0.00664263011517454,0.0754161489313687,0.00431487266009031
BM_h0_4,0.00162599899073406,0.000658274265779911,0.00277250524985652,2.1900650437724e-17,0.00319979752199609,0.000495589712983153,0.744439857844335,2.81565572486332e-17,3.67067452696707e-17,0.000360429441263091,0.0630916641456202,0.00141731698105387,0.00226886982818444,0.021522138200321,0.00216294974625001,0.000191595351536863,0.0697797697251658,0.000263646480800317,0.000525467709380461,0.00062167468386552,0.00765884600842525,0.0740010749514278,0.00294253316102027
BM_h6_5,0.000452954666376363,0.000321333178208906,8.39275428863323e-05,0.00185336183952653,2.55088048295436e-17,0.00116481651441536,0.597088918171224,0.0216877106215929,3.3213370752074e-17,0.00151636999559661,0.0168232307697201,0.000794957483749112,0.00125916359287664,2.58008061461395e-17,0.000651335820925694,0.000435027706778823,2.4597131516278e-17,0.0175343645902562,0.00108784681607609,0.00128874414180098,0.317731533874554,0.0128437733794165,0.00538062929401886
BM_h6_6,3.29032145367416e-17,0.000326845604716375,0.000716328411223446,0.00132430875632931,2.49526179632047e-17,0.000880706480699264,0.621926552580825,0.0316329532019934,3.24891956790908e-17,0.000972970709750934,0.00690662163044134,0.000412012059718403,0.0018867583519992,2.523825256453e-17,2.2730508128468e-17,0.000574367518978912,2.40608225206044e-17,0.0109215380266494,0.000308473636017902,0.000699998121496442,0.292249773661721,0.0219561846769838,0.00630360657045585
BM_h6_7,0.000237479513717293,0.000227195297337614,3.27718301651189e-17,0.00125642129310237,7.02699601801312e-05,0.000998139232925604,0.620322494105512,0.02467154291274,3.20094921921231e-17,0.000615434218720263,0.00968582731005353,0.000956847526835238,0.00150151810659454,2.48656093670879e-17,0.000199367053570697,0.000675208464514373,2.37055640963439e-17,0.0139943996468955,0.000728425579583608,0.000688725241718027,0.308075537392267,0.00972680562979598,0.00536836151393656
BM_h6_8,3.43481885350162e-17,0.000203870488559,1.89795807543933e-05,0.0015518790358618,2.60484344253151e-17,0.000840295781255733,0.542921337875088,0.0467115133373549,3.39159876701505e-17,0.00111074306758027,0.00276550396896719,0.00126938085915676,0.00117788355635633,2.63466129247893e-17,2.37287386562642e-17,0.000671396800449323,2.51174749908532e-17,0.0182138076756968,0.000710228172665271,0.000733900833905682,0.267021558858139,0.107430408033818,0.0066473120743915
BM_h12_9,0.000784540442726062,0.000402446291581654,0.000509077915538345,0.00117221135367055,0.000766871831955232,0.00111245345428571,0.569260836206009,0.0384611375105478,0.000631208964271186,0.000827525628558451,0.031186558019616,2.06412951096933e-05,0.000755243709352583,0.00266610131167029,0.000707451967478957,0.000982319680506669,2.59684991199629e-17,0.0114858996492652,2.09365725167184e-05,0.0013181584897235,0.305985096912075,0.0248986652061058,0.00604461758743568
BM_h12_10,0.000604734137058301,0.000238909642893863,0.00144041481956674,0.00168328157901253,2.77502678836734e-17,0.000853806569694237,0.578741800918915,0.0287345103595111,0.000504212930036496,0.00080964087328646,0.0389865094840764,0.000369657775007047,0.000261298661910022,0.00592794553077758,2.5279018443161e-17,0.00245190070939496,0.0341187253419412,0.00396063590005721,0.000800148678184728,0.00145427496251306,0.201226438434544,0.0924739709162886,0.00435718177532979
BM_h12_11,0.00101538982875706,0.000574866582209128,8.27387505306778e-05,0.00222131334021631,4.90561735636966e-05,0.00077390214296945,0.610090281863294,0.0205378044552186,3.56433359741119e-17,0.000108728661105381,0.050511201219435,0.000143450965664396,3.21822545235949e-17,0.0104694155071945,4.53781008097336e-05,0.00180178140356113,0.0122435217522707,0.00774952165824173,0.000225984161730594,0.000987465994640423,0.245394565959774,0.0322246373621925,0.00274899411662085
BM_h12_12,0.000355373976649348,0.000227864387676393,0.00048082288769869,0.00153849266265562,2.58941100111235e-17,0.00112218787022434,0.665579311129266,0.0342637478203599,0.00785360721297671,0.000736495209285964,0.0205245481502462,0.000671225685064081,0.000744586983497788,2.61905219467612e-17,3.17064174991612e-05,0.00292295156140483,2.496866606243e-17,0.0101418431281835,0.000153504303637816,0.000759191917344587,0.246085282497804,0.001514019806234,0.00429323639229148
BM_h24_13,3.46860496411325e-17,0.00031319611177986,0.0008375941095365,0.0021265134969561,2.74591691559718e-05,0.000863008530265739,0.731174953530265,2.62717586504449e-17,0.0143276665145469,0.000535551268893249,0.0287902914908747,0.000869712851585439,3.09238524886334e-17,0.0122860073227571,0.00350226824881746,0.00387642568010336,0.0207110242359766,2.47424540917115e-17,0.000324819980901413,0.000406863351092873,0.102692414988232,0.0723336023763454,0.00400062674191361
BM_h24_14,0.000162772083197715,0.000379061036283379,0.000664611228102397,0.00149413554848605,2.53439684716439e-17,0.00112680261110284,0.750793851366106,0.00736985603751829,0.0302525016256096,7.2346289748833e-05,0.0217815409572212,0.00035832114506091,0.000531032880558861,0.00689816058116946,0.00148573663015796,0.00340122503719106,0.0268645632779255,2.38388204851358e-17,0.000427514837208526,0.000538477868272202,0.0952330766735542,0.0477821785839586,0.00238223370156665
BM_h24_15,0.000146943062787215,0.000466948868610798,3.39427137249342e-17,0.00179070164908648,2.54625448934778e-17,0.0011004837218851,0.750110138436432,0.0160707855164385,0.0278364146194703,0.000300316805013609,0.0119949020130471,0.000292430326125112,0.00023135266267375,0.0032989848516115,4.87111448057524e-05,0.00271244189148705,0.020878716306764,2.39503547950459e-17,2.81134385416351e-05,0.000845785628208087,0.106289975435389,0.0517398138631359,0.00381603975848717
BM_h24_16,0.000472407319416193,0.000582834446081512,0.00120815762031418,0.00166132867398013,0.000413742175989441,0.000736133894216644,0.736283168351122,0.00129988401047483,0.015723921548169,0.00100408994308787,0.0132214702907463,0.000451840636892659,0.000128038093784626,0.0134343620897321,0.00578624341747431,0.00534779979463876,0.0196699050185876,2.63927540566159e-17,2.81432669095653e-17,0.000958339923400472,0.133431692067184,0.0438751159856603,0.00430952469904631
BM_h48_17,3.18265773954244e-17,5.39939515814194e-05,0.000284273523044758,0.000679044550270028,5.94717728184183e-05,0.000582852651068318,0.817306156019768,0.00725696529237956,3.14261057879627e-17,3.43185784853183e-17,0.0361866578845002,0.000610286869819079,0.000356442074080744,0.00936679050285529,2.19867355324867e-17,0.00094068052280932,0.0238869659175922,2.27027187658975e-17,0.000306241496580208,0.000201740173662311,0.0236933469889744,0.0754553348104088,0.00277275499778656
BM_h48_18,0.00021243494843833,3.07769151471627e-17,0.00025251228155389,1.87154107970746e-17,0.000750382447656363,0.000314286833235376,0.813241923630256,0.0113183663874776,0.00148556453503492,3.42552350031872e-17,0.0352143410795215,0.000270199224229096,0.00101890100733182,0.00895248735778616,2.19461535372295e-17,0.000209985228225889,0.0320680934697423,2.26608152452988e-17,2.41638053561495e-17,5.95201687860375e-05,0.0172429425636452,0.0751227712333868,0.00226528760369189
BM_h48_19,3.12474368646503e-17,3.02727509664412e-17,3.15890773310158e-17,1.8408829071575e-17,0.000484750838063202,0.000423244772771649,0.843540387219467,0.00572013302565587,3.08542525421651e-17,0.000239144304558848,0.0286597850917884,0.000253390917935055,0.00065529532046661,0.00886408014763053,2.15866482240693e-17,0.000478712936257907,0.0194006105528132,2.2289602883761e-17,0.000191815871071417,0.000497745930243206,0.0188790267778427,0.0695671563110744,0.00214471998235968
BM_h48_20,3.13546338717002e-17,0.000215302167451508,0.000319621702591395,4.63863626477362e-05,0.00137974258128586,0.000684883131626985,0.817278135990379,0.0187597251147847,0.00195528653954391,0.0010287638241342,0.0283640704341965,0.00034623684057127,0.00210721047937814,0.00556141962922723,2.16607030686916e-17,0.000475207738734204,0.0160675439347422,2.23660692745187e-17,0.000258573623551911,0.000580177966431246,0.0144661991352646,0.0840952322930806,0.00601028051037606
BM_h72_21,3.25226021495046e-17,0.00025542729844195,0.000906267551765094,0.000139760935845866,0.00106677319543722,0.000879498175513352,0.853116873508524,0.00744611749687349,0.00033568635818927,0.00122361120813075,0.0236748800056222,0.000959310319655542,0.00150331272165648,0.0106300501830903,2.24675698993711e-17,2.23051437034783e-17,0.0211736308115732,0.000424260211741141,0.000490033770819369,0.000664877356249804,0.00651107397579855,0.0609739982770719,0.00762455663800072
BM_h72_22,3.02041784404422e-17,8.22993925068027e-05,3.0534412553828e-17,1.77942133483105e-17,0.000568165962832232,0.000781173914582513,0.872721716695775,0.00910424621310318,2.98241213660725e-17,3.25691467076161e-17,0.0302378837238372,2.76294053169203e-05,0.000139676342349237,0.000410056888218755,2.08659346273757e-17,2.0715087232644e-17,0.00931392310619668,2.1545419734229e-17,3.10383868696144e-05,2.47227369874233e-17,2.45561883492715e-17,0.0733912670572233,0.00319092291118796
BM_h72_23,0.000753256866685601,0.00021852974848821,0.000885215037287518,1.92754832902285e-17,0.00167566604486883,0.000970481644320105,0.864480181145659,0.0169895797192743,0.00718072748682861,0.000905918606578476,0.0271233586106135,0.00074961935294241,0.00193522046306188,0.0049980624081008,2.26029083934282e-17,0.000549227021777814,0.0164122746266843,0.00117937705300461,0.000559910737340786,0.000389624135939167,0.000497858725515371,0.0456374907932069,0.0059084197718215
BM_h72_24,3.02339879390906e-17,2.92909140537508e-17,3.05645479714011e-17,0.00041381405718905,0.000182673845854549,0.000629106664719006,0.898669452782587,0.0189467477902915,0.000827145972494052,0.00016007187392764,0.0220248271749426,2.54743420198665e-17,0.000260578627568249,0.0032464290048595,2.08865279055971e-17,2.07355316346026e-17,0.0104312684936026,0.000123556725396671,0.000122448137503732,0.000162099556646609,0.00215231293793161,0.040017783562882,0.00162968279160353
BM_h120_25,0.000956177713733302,0.000336424380091099,0.000181088328165396,1.85573601591772e-17,0.00417171335311268,0.000723283471004576,0.884215123346214,0.0459845835664059,0.000701366506582284,0.000939612283273621,0.0410327378485984,0.000540763109422097,2.80829794525275e-17,2.41615829352082e-17,8.84694402477162e-05,2.16035026095406e-17,0.018538686033615,2.24694458789713e-17,0.000363070849556166,0.000392747216080745,2.56093384076059e-17,3.18189206105626e-17,0.000834152553896581
